kategorije,naslov,ocena,stevilo_glasov,avtor,lestvica,starost,stevilo_strani,mesec,datum,zaloznik,drzava,jezik
"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Sci Fi Books for Kids', 'Graphic Novels']","The Legend of Zelda, Vol. 3 : Majora's Mask",4.29,2662,Akira Himekawa,"49,190",12-17,216,Oct,2013,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Funny Books for Kids']",Up (Disney/Pixar Up),4.23,206,RH Disney,"53,665",12-17,24,Apr,2009,Random House USA Inc,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Funny Books for Kids', 'English Language: Reading Schemes']",Gravity Falls Once Upon a Swine,4.27,310,No New Art Needed,"22,158",12-17,112,Oct,2014,Disney Press,,English

"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels']",Lucky Luke 49 - The Dalton's Amnesia,3.75,297,"Jean & Fauche, Xavier Leturgie","27,576",12-17,48,Jan,2015,Cinebook Ltd,United Kingdom,English

"['Christian Instruction', 'Open Learning, Home Learning, Distance Education', 'Open Learning, Home Learning, Distance Education', 'Bible Stories']","NIV, Adventure Bible, Hardcover, Full Color",4.63,563,Lawrence O. Richards,"49,706",9-12,1472,Jun,2013,ZONDERVAN,United States,English

"['Fantasy', 'Fantasy Books', 'Anthologies', 'Children's Fiction', 'Children's General Story Books', 'Fantasy Books for Kids', 'Romance Books for Teenagers', 'Short Stories for Kids']",Broken Throne: A Red Queen Collection,3.91,28980,Victoria Aveyard,"49,265",12-15,480,Sep,2019,HarperTeen,,English

"['Literature: History & Criticism', 'Traditional', 'General Knowledge', 'History Books for Kids', 'Citizenship & Social Education']","Treasury of Norse Mythology : Stories of Intrigue, Trickery, Love, and Revenge",3.85,766,National Geographic Kids,"41,962",12-17,208,Oct,2015,National Geographic Kids,,English

"['Adventure Books', 'Fantasy', 'Fantasy Books', 'Children's Fiction', 'Adventure Books for Kids', 'Fantasy Books for Kids']","WorldEnd, Vol. 1",4.09,342,Ue,"23,426",12-15,192,Jul,2018,"Little, Brown & Company",United States,English

"['Children's Fiction', 'Children's General Story Books', 'Fantasy Books for Kids', 'Romance Books for Teenagers', 'Family', 'Drama', 'Family Issues']",Legendary : A Caraval Novel,4.22,142534,Stephanie Garber,"52,333",12-15,512,May,2019,Flatiron Books,,English

"['Graphic Novel & Manga Artwork', 'Graphic Novels: Manga', 'Graphic Novels: Manga', 'Horror & Ghost']","Bleach, Vol. 13",4.37,7594,Tite Kubo,"25,282",12-15,192,May,2008,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Family', 'Funny Books for Kids', 'Family Issues']",Fyre,4.3,15253,Angie Sage,"64,929",12-17,736,Aug,2017,HarperCollins Publishers Inc,United States,English

"['Teaching Of A Specific Subject', 'Teaching Of A Specific Subject', 'Biology, Life Sciences', 'Sciences', 'Kids’ Chemistry Books']",Chemistry for the IB Diploma Coursebook,4.2,10,Mark Headlee,"48,658",12-17,600,Mar,2014,Cambridge University Press,United Kingdom,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's Fiction', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Graphic Novels']",Ponyo Picture Book,4.4,171,Hayao Miyazaki,"51,543",9-12,152,Sep,2009,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Children's Fiction', 'Classic Books for Children', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",The Iron Giant,3.9,10683,Andrew Davidson,"49,550",9-12,96,Jul,1999,Random House USA Inc,United States,English

"['Adventure Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Funny Books for Kids']",I Shall Wear Midnight : (Discworld Novel 38),4.34,53003,Paul Kidby,"48,500",12-17,432,Jul,2012,Penguin Random House Children's UK,United Kingdom,English

"['Christian Life & Practice', 'Adventure Books for Kids', 'Thriller Books for Children', 'Mystery Books for Kids', 'Sci Fi Books for Kids', 'Funny Books for Kids']",This Book Is Not Good For You,4.29,22098,Pseudonymous Bosch,"58,340",9-12,416,May,2011,"Little, Brown Books for Young Readers",United Kingdom,English

"['Children's Fiction', 'Classic Books for Children', 'Adventure Books for Kids', 'Sports Stories', 'English Language: Reading Schemes']",Swallows And Amazons,4,30507,Arthur Ransome,"31,913",12-15,384,Aug,2016,Penguin Random House Children's UK,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Mystery Books for Kids', 'Family', 'Historical', 'Drama', 'Family Issues']",The Marvels,3.99,19487,Brian Selznick,"48,365",12-17,640,Sep,2015,Scholastic US,United States,English

"['Cats As Pets', 'Natural History Books for Children', 'Pets', 'Jokes & Humour', 'Biology', 'Children's Reference Books']",How to Speak Cat : A Guide to Decoding Cat Language,4.14,459,National Geographic Kids,"50,497",12-17,176,Jan,2015,National Geographic Kids,United States,English

"['Children's General Story Books', 'Historical', 'Nonfiction History Books for Kids', 'English Language: Reading Schemes', 'History Books for Kids']",Tut's Mummy : Lost...and Found,4.04,1178,Judy Donnelly,"48,602",12-17,48,May,1988,Random House USA Inc,United States,English

"['Family', 'Historical', 'Family Issues']",The Lottie Project,3.76,10809,Nick Sharratt,"50,061",9-12,224,Nov,2008,Penguin Random House Children's UK,United States,English

"['Classic Books for Children', 'Children's General Story Books', 'Horror & Ghost', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Family', 'Historical']",The Children of Green Knowe,4.02,8867,Peter Boston,"51,352",9-12,192,Apr,2002,CLARION BOOKS,United States,English

"['Children's Fiction', 'Children's General Story Books']",Stanley Yelnats Survival Guide to Camp Green Lake,3.67,919,Louis Sachar,"54,315",9-12,96,Mar,2003,Bloomsbury Publishing PLC,United Kingdom,English

"['Children's Fiction', 'Classic Books for Children', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",The Iron Giant,3.9,10683,Andrew Davidson,"49,550",9-12,96,Jul,1999,Random House USA Inc,United States,English

"['Family & Relationships', 'Children's General Story Books', 'Drugs & Addiction', 'Relationships']",Clean : The London Collection,4.15,6642,Beth Eyre,"50,624",12-15,400,Apr,2018,Hachette Children's Group,United Kingdom,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's Fiction', 'Children's General Story Books']","Bungo Stray Dogs, Vol. 20",4.7,1089,Sango Harukawa,"9,036",12-15,192,Oct,2021,"Little, Brown & Company",United States,English

"['Horror & Ghost', 'Fantasy Books for Kids']",Greywaren (the Dreamer Trilogy: ,4.35,6614,Maggie Stiefvater,"38,759",12-15,352,Oct,2022,Scholastic US,United States,English

['Short Stories for Kids'],Short! : A Book of Very Short Stories,3.73,88,Kevin Crossley-Holland,"91,685",9-12,96,Jan,2015,Oxford University Press,United Kingdom,English

['Adventure Books for Kids'],Boy Overboard : the award-winning  middle grade companion novel to Girl Underground,3.75,3230,Morris Gleitzman,"49,774",12-17,208,Aug,2002,Penguin Random House Australia,Australia,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's Fiction', 'Graphic Novels']",Toradora! (Manga) Vol. 4,4.25,925,Yuyuko Takemiya,"24,596",12-17,192,Apr,2012,"Seven Seas Entertainment, LLC",United States,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Fantasy Books for Kids']",Halo : Number 1 in series,3.66,67742,Alexandra Adornetto,"48,367",12-17,496,Jun,2011,"Little, Brown Book Group",United Kingdom,English

"['Mysteries & The Supernatural (Children's/YA)', 'Self-Esteem']","Your Happiest You : The Care & Keeping of Your Mind and Spirit /]cby Judy Woodburn; Illustrated by Josee Masse; Jane Annunziata, Psyd, and Lori Gustafson, Ms, Consultants",4.35,101,Josee Masse,"51,627",12-15,112,Aug,2017,American Girl Publishing Inc,,English

"['Fantasy', 'Fantasy Books', 'Children's Fiction', 'Fantasy Books for Kids']","Death March to the Parallel World Rhapsody, Vol. 1 (light novel)",4.16,1942,Hiro Ainana,"48,963",12-15,208,Jan,2017,"Little, Brown & Company",United States,English

"['Children's General Story Books', 'Family']",Keeping the Moon,3.85,66246,Sarah Dessen,"49,823",12-17,256,Jul,2011,Penguin Putnam Inc,United States,English

"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Activity Books', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers', 'School Stories', 'Graphic Novels', 'Television & Film', 'Cartoons', 'Witches & Ghosts (Children's/YA)']",Bloodmoon Huntress (The Dragon Prince Graphic Novel 2),4.3,574,Felia Hanakata,"47,175",12-15,128,Oct,2022,Scholastic US,United States,English

"['Philosophy', 'History Books for Kids', 'Society & Social Issues']",The Complete Philosophy Files,4.08,138,Daniel Postgate,"49,585",9+,416,Sep,2011,Hachette Children's Group,United Kingdom,English

"['Sci Fi Books for Kids', 'Fantasy Books for Kids']",Inkdeath,3.96,82732,Cornelia Funke,"50,510",12+,736,Jun,2009,Chicken House Ltd,United Kingdom,English

"['Children's General Story Books', 'Romance Books for Teenagers', 'Art']",Graffiti Moon,3.88,19824,Cath Crowley,"50,909",12-17,272,Dec,2012,Random House USA Inc,United States,English

"['Children's Fiction', 'Romance Books for Teenagers', 'Family', 'Funny Books for Kids']",All Wrapped Up,4.05,1812,Holly Smale,"49,534",12-17,224,Oct,2016,HarperCollins Publishers,United Kingdom,English

"['Fantasy', 'Fantasy Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",Six of Crows,4.49,755914,Leigh Bardugo,"52,385",12-17,496,Sep,2018,Square Fish,,English

"['Animal Stories', 'Natural History Books for Children', 'Wildlife', 'English Language: Reading Schemes', 'Biology']",National Geographic Kids Readers: Safari,3.91,163,National Geographic KIds,"43,353",12-17,24,Apr,2010,National Geographic Kids,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Thriller Books for Children', 'Mystery Books for Kids', 'Fantasy Books for Kids']",Night School: Legacy : Number 2 in series,4.13,14375,C. J. Daugherty,"26,128",12-17,400,May,2014,"Little, Brown Book Group",United Kingdom,English

"['Children's Fiction', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Family', 'Animal Stories', 'Funny Books for Kids', 'Historical']",Back in Time (Geronimo Stilton the Journey Through Time ,4.35,1040,Geronimo Stilton,"49,794",9-12,320,Jan,2015,Scholastic US,United States,English

"['Children's Fiction', 'True Stories for Children', 'Battles', 'Society & Social Issues', 'War & Conflict']",The One That Got Away - Junior edition,4.1,4066,Chris Ryan,"27,516",9-12,336,Dec,2010,Penguin Random House Children's UK,United Kingdom,English

"['Adventure Books for Kids', 'Thriller Books for Children', 'Mystery Books for Kids', 'Sci Fi Books for Kids', 'Funny Books for Kids']",This Isn't What It Looks Like,4.29,14891,Pseudonymous Bosch,"84,071",9-12,448,Sep,2011,"Little, Brown & Company",United States,English

"['Thriller Books', 'Thrillers', 'Adventure Books', 'Science Fiction', 'Science Fiction', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional']",The Amulet of Samarkand,4.02,123666,Jonathan Stroud,"50,596",9-12,462,Jul,2011,Disney Book Publishing Inc.,United States,English

"['Work', 'Society & Social Issues', 'Self-Esteem', 'Social Issues']","Your Life, Your Way : Acceptance and Commitment Therapy Skills to Help Teens Manage Emotions and Build Resilience",4.15,27,Louise L Hayes,"34,148",12-15,168,Oct,2020,New Harbinger Publications,United States,English

"['Personal Development', 'Non-Fiction', 'Citizenship & Social Education', 'Society & Social Issues', 'Children's Health Books', 'Self-Esteem', 'Social Issues']",Diary of a Brilliant Kid : Top Secret Guide to Awesomeness,4.25,44,Will Hussey,"49,773",12-15,224,Nov,2018,John Wiley and Sons Ltd,United Kingdom,English

"['Contemporary Fiction', 'Classic Books & Novels', 'Science Fiction', 'Science Fiction', 'Fiction In Translation', 'Classic Books for Children', 'Traditional']",The Little Prince : Colour Illustrations,4.32,1875477,Chloe Schwartz,"9,315",12-15,136,Jul,2016,Pan Macmillan,United Kingdom,English

"['Adventure Books for Kids', 'Mystery Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Graphic Novels']",Artemis Fowl : The Graphic Novel,3.76,8486,Giovanni Rigano,"64,905",12-17,112,Oct,2007,Penguin Random House Children's UK,United Kingdom,English

"['Popular Medicine & Health', 'Popular Psychology', 'Society & Social Issues']",Stopping The Pain: A Workbook for Teens Who Cut and Self-Injure,3.95,131,Lawrence E. Shapiro,"50,035",12-17,168,May,2008,New Harbinger Publications,United States,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional']",The Colossus Rises,3.85,14733,Mike Reagan,"52,478",9-12,384,Oct,2013,HARPERCOLLINS,United States,English

"['Children's Fiction', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Family', 'Animal Stories', 'Funny Books for Kids', 'Historical']",Back in Time (Geronimo Stilton the Journey Through Time ,4.35,1040,Geronimo Stilton,"49,794",9-12,320,Jan,2015,Scholastic US,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Romance Books for Teenagers', 'Family', 'Children's Music Books']",Just Listen,4.05,243710,Sarah Dessen,"49,843",12-17,400,Jul,2011,Penguin Putnam Inc,United States,English

['Language: Reference & General'],Wordly Wise 3000 Stu Book Grd7,3.87,54,3rd Edition,"52,960",12-17,216,Nov,2012,"Educators Publishing Service, Incorporated",,English

"['Teachers' Classroom Resources & Material', 'Teachers' Classroom Resources & Material', 'Mathematics', 'Mathematical Foundations', 'Activity Books', 'Mathematics & Numeracy']",National Curriculum Maths Practice Book for Year 2,3.31,13,Scholastic,"47,688",12-17,128,Jul,2014,Scholastic,United Kingdom,English

"['Graphic Novel & Manga Artwork', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's Fiction', 'Children's General Story Books', 'Graphic Novels']",The Wize Wize Beasts of the Wizarding Wizdoms,3.63,1600,Nagabe,"5,446",12-15,240,Oct,2019,"Seven Seas Entertainment, LLC",United States,English

"['Children's Fiction', 'Children's General Story Books', 'Mystery Books for Kids', 'Funny Books for Kids', 'English Language: Reading Schemes']","More Spaghetti, I Say]",4.18,1109,Mort Gerberg,"53,923",12-17,32,Jan,1993,Scholastic Canada Ltd,Canada,English

"['Fantasy', 'Fantasy Books', 'Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's Fiction']",Grimgar of Fantasy and Ash: Light Novel Vol. 4,4.19,688,Eiri Shirai,"36,281",12-15,280,Dec,2017,"Seven Seas Entertainment, LLC",United States,English

"['Poetry Books', 'Poetry By Individual Poets', 'Poetry Books for Kids', 'Classic Books for Children', 'English Literature']",A Child's Garden of Verses,4.28,26009,Robert Louis Stevenson,"27,479",12-17,144,Dec,1999,Wordsworth Editions Ltd,United Kingdom,English

"['Graphic Novel & Manga Artwork', 'Graphic Novels: Manga', 'Graphic Novels: Manga', 'Fantasy Books for Kids']","Bleach, Vol. 20",4.39,6781,Tite Kubo,"48,998",12-15,232,Nov,2008,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Graphic Novel & Manga Artwork', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels: History & Criticism', 'Children's Fiction', 'Traditional', 'Funny Books for Kids', 'Graphic Novels']",Asterix: Asterix at The Olympic Games : Album 12,4.17,8505,Albert Uderzo,"50,103",12-17,48,Sep,2004,"Little, Brown Book Group",United Kingdom,English

"['Children's Fiction', 'True Stories for Children', 'Nonfiction History Books for Kids', 'People & Places', 'History Books for Kids']",Who Was Queen Elizabeth II?,4.15,255,Laurie A. Conley,"56,457",12-15,112,Dec,2021,Penguin Putnam Inc,,English

"['Children's Fiction', 'Classic Books for Children', 'Children's General Story Books', 'Historical', 'People & Places', 'Multiculturalism']","Roll of Thunder, Hear My Cry",3.87,120723,Mildred D. Taylor,"50,030",9-12,288,Apr,2004,Penguin Putnam Inc,United States,English
